12,41,45
12,34,45
12,31,41
12,29,39
12,25,35
6,30,0
6,21,34
6,19,30
6,17,27
6,15,23
7,25,38
7,18,28
7,17,25
7,16,23
7,14,20
8,22,33
8,17,24
8,16,23
8,15,21
8,14,20
8,20,30
8,15,22
8,15,20
8,14,19
8,12,17
,,
13.13,0.41,9.89
43.41,18.18,0.10
67.32,35.70,2.18
96.54,59.63,12.37
171.14,113.00,52.24
66.08,24.23,0
191.63,118.34,48.64
279.73,203.35,102.89
386.67,291.58,177.04
654.63,559.08,400.87
146.69,81.10,14.48
423.41,311.90,187.67
617.10,529.68,341.79
848.15,885.05,865.15
1419.23,1339.74,1105.05
176.06,112.15,40.52
509.95,422.74,263.31
743.35,671.54,528.87
1021.42,952.09,781.78
1710.83,1716.28,1657.61
102.60,75.02,38.80
301.86,248.12,195.43
443.54,424.11,324.07
613.04,591.83,507.31
1038.79,948.86,940.90
